2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:10.398238 Step 0/27: loss = 3.259, loss_main = 3.257, loss_regu = 0.002
2022-09-30 09:17:10.639302 Step 1/27: loss = 3.264, loss_main = 3.262, loss_regu = 0.002
2022-09-30 09:17:10.837514 Step 2/27: loss = 3.272, loss_main = 3.270, loss_regu = 0.002
2022-09-30 09:17:11.016697 Step 3/27: loss = 3.279, loss_main = 3.277, loss_regu = 0.002
2022-09-30 09:17:11.193003 Step 4/27: loss = 3.259, loss_main = 3.257, loss_regu = 0.002
2022-09-30 09:17:11.374053 Step 5/27: loss = 3.283, loss_main = 3.281, loss_regu = 0.002
2022-09-30 09:17:11.569727 Step 6/27: loss = 3.264, loss_main = 3.262, loss_regu = 0.002
2022-09-30 09:17:11.790810 Step 7/27: loss = 3.273, loss_main = 3.271, loss_regu = 0.002
2022-09-30 09:17:11.984671 Step 8/27: loss = 3.268, loss_main = 3.266, loss_regu = 0.002
2022-09-30 09:17:12.186811 Step 9/27: loss = 3.269, loss_main = 3.267, loss_regu = 0.002
2022-09-30 09:17:12.399643 Step 10/27: loss = 3.266, loss_main = 3.264, loss_regu = 0.002
2022-09-30 09:17:12.599595 Step 11/27: loss = 3.271, loss_main = 3.269, loss_regu = 0.002
2022-09-30 09:17:12.841026 Step 12/27: loss = 3.268, loss_main = 3.266, loss_regu = 0.002
2022-09-30 09:17:13.073616 Step 13/27: loss = 3.263, loss_main = 3.261, loss_regu = 0.002
2022-09-30 09:17:13.331614 Step 14/27: loss = 3.263, loss_main = 3.261, loss_regu = 0.002
2022-09-30 09:17:13.539721 Step 15/27: loss = 3.267, loss_main = 3.266, loss_regu = 0.002
2022-09-30 09:17:13.748038 Step 16/27: loss = 3.277, loss_main = 3.276, loss_regu = 0.002
2022-09-30 09:17:13.976767 Step 17/27: loss = 3.266, loss_main = 3.264, loss_regu = 0.002
2022-09-30 09:17:14.201009 Step 18/27: loss = 3.270, loss_main = 3.269, loss_regu = 0.002
2022-09-30 09:17:14.409781 Step 19/27: loss = 3.270, loss_main = 3.269, loss_regu = 0.002
2022-09-30 09:17:14.613559 Step 20/27: loss = 3.265, loss_main = 3.263, loss_regu = 0.002
2022-09-30 09:17:14.809019 Step 21/27: loss = 3.261, loss_main = 3.259, loss_regu = 0.002
2022-09-30 09:17:14.999538 Step 22/27: loss = 3.265, loss_main = 3.264, loss_regu = 0.002
2022-09-30 09:17:15.223381 Step 23/27: loss = 3.260, loss_main = 3.259, loss_regu = 0.001
2022-09-30 09:17:15.418400 Step 24/27: loss = 3.267, loss_main = 3.266, loss_regu = 0.001
2022-09-30 09:17:15.617161 Step 25/27: loss = 3.264, loss_main = 3.263, loss_regu = 0.001
2022-09-30 09:17:15.816320 Step 26/27: loss = 3.255, loss_main = 3.253, loss_regu = 0.001
2022-09-30 09:17:15.919339 Step 27/27: loss = 3.269, loss_main = 3.267, loss_regu = 0.001
2022-09-30 09:17:15.949862 Train 0/100 {'loss': 3.38811703964516, 'loss_main': 3.386236658802739, 'precision': 0.038176638176638175}
2022-09-30 09:17:16.127866 Step 0/3: precision = 10.000
2022-09-30 09:17:16.305167 Step 1/3: precision = 10.000
2022-09-30 09:17:16.461455 Step 2/3: precision = 13.000
2022-09-30 09:17:16.475575 Step 3/3: precision = 0.000
2022-09-30 09:17:16.475771 Test 0/100 {'precision': 0.04230769230769231}
[1m2022-09-30 09:17:16.475789 Best Result: precision = 0.0423[0m
2022-09-30 09:17:16.627274 Step 0/27: loss = 3.246, loss_main = 3.244, loss_regu = 0.001
