2022-09-23 18:35:59.100022 Start \(≧▽≦)/
2022-09-23 18:35:59.100435 Loading and splitting data from raw...
2022-09-23 18:36:13.075056 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-23 18:36:18.745230 Step 0/54: loss = 3.271, loss_main = 3.266, loss_regu = 0.006
2022-09-23 18:36:18.899843 Step 1/54: loss = 3.300, loss_main = 3.295, loss_regu = 0.005
2022-09-23 18:36:19.029064 Step 2/54: loss = 3.263, loss_main = 3.258, loss_regu = 0.005
2022-09-23 18:36:19.150605 Step 3/54: loss = 3.352, loss_main = 3.347, loss_regu = 0.005
2022-09-23 18:36:19.282432 Step 4/54: loss = 3.312, loss_main = 3.307, loss_regu = 0.005
2022-09-23 18:36:19.414514 Step 5/54: loss = 3.294, loss_main = 3.289, loss_regu = 0.005
2022-09-23 18:36:19.540086 Step 6/54: loss = 3.303, loss_main = 3.298, loss_regu = 0.005
2022-09-23 18:36:19.670569 Step 7/54: loss = 3.287, loss_main = 3.282, loss_regu = 0.005
2022-09-23 18:36:19.792381 Step 8/54: loss = 3.261, loss_main = 3.256, loss_regu = 0.005
2022-09-23 18:36:19.924686 Step 9/54: loss = 3.301, loss_main = 3.297, loss_regu = 0.005
2022-09-23 18:36:20.042597 Step 10/54: loss = 3.301, loss_main = 3.297, loss_regu = 0.004
2022-09-23 18:36:20.162510 Step 11/54: loss = 3.266, loss_main = 3.262, loss_regu = 0.004
2022-09-23 18:36:20.281386 Step 12/54: loss = 3.286, loss_main = 3.281, loss_regu = 0.004
2022-09-23 18:36:20.399357 Step 13/54: loss = 3.278, loss_main = 3.274, loss_regu = 0.004
2022-09-23 18:36:20.516894 Step 14/54: loss = 3.277, loss_main = 3.273, loss_regu = 0.004
2022-09-23 18:36:20.634714 Step 15/54: loss = 3.289, loss_main = 3.285, loss_regu = 0.004
2022-09-23 18:36:20.753253 Step 16/54: loss = 3.258, loss_main = 3.254, loss_regu = 0.004
2022-09-23 18:36:20.880484 Step 17/54: loss = 3.270, loss_main = 3.266, loss_regu = 0.004
2022-09-23 18:36:20.998201 Step 18/54: loss = 3.327, loss_main = 3.323, loss_regu = 0.004
2022-09-23 18:36:21.118090 Step 19/54: loss = 3.255, loss_main = 3.252, loss_regu = 0.004
2022-09-23 18:36:21.236969 Step 20/54: loss = 3.285, loss_main = 3.281, loss_regu = 0.004
2022-09-23 18:36:21.358701 Step 21/54: loss = 3.268, loss_main = 3.264, loss_regu = 0.004
2022-09-23 18:36:21.484408 Step 22/54: loss = 3.268, loss_main = 3.265, loss_regu = 0.004
2022-09-23 18:36:21.613854 Step 23/54: loss = 3.288, loss_main = 3.284, loss_regu = 0.004
2022-09-23 18:36:21.733600 Step 24/54: loss = 3.318, loss_main = 3.314, loss_regu = 0.004
2022-09-23 18:36:21.852931 Step 25/54: loss = 3.255, loss_main = 3.252, loss_regu = 0.004
2022-09-23 18:36:21.983107 Step 26/54: loss = 3.312, loss_main = 3.308, loss_regu = 0.004
2022-09-23 18:36:22.104889 Step 27/54: loss = 3.231, loss_main = 3.227, loss_regu = 0.004
2022-09-23 18:36:22.224153 Step 28/54: loss = 3.295, loss_main = 3.292, loss_regu = 0.004
2022-09-23 18:36:22.352011 Step 29/54: loss = 3.303, loss_main = 3.299, loss_regu = 0.003
2022-09-23 18:36:22.479705 Step 30/54: loss = 3.277, loss_main = 3.274, loss_regu = 0.003
2022-09-23 18:36:22.595853 Step 31/54: loss = 3.272, loss_main = 3.269, loss_regu = 0.003
2022-09-23 18:36:22.711853 Step 32/54: loss = 3.273, loss_main = 3.270, loss_regu = 0.003
2022-09-23 18:36:22.829962 Step 33/54: loss = 3.289, loss_main = 3.286, loss_regu = 0.003
2022-09-23 18:36:22.954083 Step 34/54: loss = 3.264, loss_main = 3.261, loss_regu = 0.003
2022-09-23 18:36:23.078945 Step 35/54: loss = 3.271, loss_main = 3.268, loss_regu = 0.003
2022-09-23 18:36:23.195979 Step 36/54: loss = 3.305, loss_main = 3.302, loss_regu = 0.003
2022-09-23 18:36:23.314157 Step 37/54: loss = 3.301, loss_main = 3.298, loss_regu = 0.003
2022-09-23 18:36:23.441050 Step 38/54: loss = 3.315, loss_main = 3.312, loss_regu = 0.003
2022-09-23 18:36:23.563387 Step 39/54: loss = 3.270, loss_main = 3.266, loss_regu = 0.003
2022-09-23 18:36:23.688944 Step 40/54: loss = 3.292, loss_main = 3.288, loss_regu = 0.003
2022-09-23 18:36:23.816808 Step 41/54: loss = 3.270, loss_main = 3.267, loss_regu = 0.003
2022-09-23 18:36:23.934461 Step 42/54: loss = 3.294, loss_main = 3.290, loss_regu = 0.003
2022-09-23 18:36:24.052056 Step 43/54: loss = 3.268, loss_main = 3.265, loss_regu = 0.003
2022-09-23 18:36:24.170251 Step 44/54: loss = 3.322, loss_main = 3.318, loss_regu = 0.003
2022-09-23 18:36:24.287169 Step 45/54: loss = 3.294, loss_main = 3.291, loss_regu = 0.003
2022-09-23 18:36:24.403527 Step 46/54: loss = 3.270, loss_main = 3.267, loss_regu = 0.003
2022-09-23 18:36:24.520378 Step 47/54: loss = 3.249, loss_main = 3.245, loss_regu = 0.003
2022-09-23 18:36:24.639272 Step 48/54: loss = 3.256, loss_main = 3.253, loss_regu = 0.003
2022-09-23 18:36:24.757657 Step 49/54: loss = 3.284, loss_main = 3.281, loss_regu = 0.003
2022-09-23 18:36:24.884078 Step 50/54: loss = 3.272, loss_main = 3.269, loss_regu = 0.003
2022-09-23 18:36:25.004415 Step 51/54: loss = 3.277, loss_main = 3.274, loss_regu = 0.003
2022-09-23 18:36:25.121847 Step 52/54: loss = 3.298, loss_main = 3.295, loss_regu = 0.003
2022-09-23 18:36:25.239295 Step 53/54: loss = 3.305, loss_main = 3.302, loss_regu = 0.003
2022-09-23 18:36:25.344478 Step 54/54: loss = 3.281, loss_main = 3.278, loss_regu = 0.003
2022-09-23 18:36:25.377739 Train 0/100 {'loss': 3.345240844620599, 'loss_main': 3.3413582289660417, 'precision': 0.038176638176638175}
2022-09-23 18:36:25.549685 Step 0/3: precision = 13.000
2022-09-23 18:36:25.725316 Step 1/3: precision = 6.000
2022-09-23 18:36:25.905967 Step 2/3: precision = 9.000
2022-09-23 18:36:25.919794 Step 3/3: precision = 0.000
2022-09-23 18:36:25.919981 Test 0/100 {'precision': 0.035897435897435895}
[1m2022-09-23 18:36:25.919999 Best Result: precision = 0.0359[0m
2022-09-23 18:36:26.013224 Step 0/54: loss = 3.246, loss_main = 3.243, loss_regu = 0.003
2022-09-23 18:36:26.139064 Step 1/54: loss = 3.238, loss_main = 3.235, loss_regu = 0.003
2022-09-23 18:36:26.260501 Step 2/54: loss = 3.211, loss_main = 3.208, loss_regu = 0.003
2022-09-23 18:36:26.385745 Step 3/54: loss = 3.224, loss_main = 3.221, loss_regu = 0.003
2022-09-23 18:36:26.504380 Step 4/54: loss = 3.232, loss_main = 3.229, loss_regu = 0.003
2022-09-23 18:36:26.623215 Step 5/54: loss = 3.230, loss_main = 3.227, loss_regu = 0.003
2022-09-23 18:36:26.752708 Step 6/54: loss = 3.207, loss_main = 3.204, loss_regu = 0.003
2022-09-23 18:36:26.869855 Step 7/54: loss = 3.234, loss_main = 3.231, loss_regu = 0.003
2022-09-23 18:36:26.986966 Step 8/54: loss = 3.211, loss_main = 3.208, loss_regu = 0.003
2022-09-23 18:36:27.116076 Step 9/54: loss = 3.215, loss_main = 3.212, loss_regu = 0.003
2022-09-23 18:36:27.233102 Step 10/54: loss = 3.224, loss_main = 3.221, loss_regu = 0.003
2022-09-23 18:36:27.350007 Step 11/54: loss = 3.212, loss_main = 3.209, loss_regu = 0.003
2022-09-23 18:36:27.467960 Step 12/54: loss = 3.233, loss_main = 3.229, loss_regu = 0.003
2022-09-23 18:36:27.596122 Step 13/54: loss = 3.217, loss_main = 3.214, loss_regu = 0.003
2022-09-23 18:36:27.715354 Step 14/54: loss = 3.248, loss_main = 3.245, loss_regu = 0.003
2022-09-23 18:36:27.831866 Step 15/54: loss = 3.223, loss_main = 3.220, loss_regu = 0.003
2022-09-23 18:36:27.949220 Step 16/54: loss = 3.195, loss_main = 3.192, loss_regu = 0.003
2022-09-23 18:36:28.083899 Step 17/54: loss = 3.249, loss_main = 3.246, loss_regu = 0.003
2022-09-23 18:36:28.215688 Step 18/54: loss = 3.236, loss_main = 3.233, loss_regu = 0.003
2022-09-23 18:36:28.352398 Step 19/54: loss = 3.227, loss_main = 3.224, loss_regu = 0.003
2022-09-23 18:36:28.488800 Step 20/54: loss = 3.218, loss_main = 3.215, loss_regu = 0.003
2022-09-23 18:36:28.624572 Step 21/54: loss = 3.237, loss_main = 3.234, loss_regu = 0.003
2022-09-23 18:36:28.743024 Step 22/54: loss = 3.220, loss_main = 3.217, loss_regu = 0.003
2022-09-23 18:36:28.862336 Step 23/54: loss = 3.242, loss_main = 3.239, loss_regu = 0.003
2022-09-23 18:36:28.989102 Step 24/54: loss = 3.199, loss_main = 3.196, loss_regu = 0.003
2022-09-23 18:36:29.106098 Step 25/54: loss = 3.250, loss_main = 3.247, loss_regu = 0.003
2022-09-23 18:36:29.223607 Step 26/54: loss = 3.284, loss_main = 3.281, loss_regu = 0.003
2022-09-23 18:36:29.352109 Step 27/54: loss = 3.258, loss_main = 3.255, loss_regu = 0.003
2022-09-23 18:36:29.469031 Step 28/54: loss = 3.271, loss_main = 3.268, loss_regu = 0.003
2022-09-23 18:36:29.595073 Step 29/54: loss = 3.202, loss_main = 3.199, loss_regu = 0.003
2022-09-23 18:36:29.713844 Step 30/54: loss = 3.256, loss_main = 3.252, loss_regu = 0.003
2022-09-23 18:36:29.831703 Step 31/54: loss = 3.222, loss_main = 3.219, loss_regu = 0.003
2022-09-23 18:36:29.949392 Step 32/54: loss = 3.217, loss_main = 3.214, loss_regu = 0.003
2022-09-23 18:36:30.066989 Step 33/54: loss = 3.216, loss_main = 3.213, loss_regu = 0.003
2022-09-23 18:36:30.194122 Step 34/54: loss = 3.240, loss_main = 3.237, loss_regu = 0.003
2022-09-23 18:36:30.311832 Step 35/54: loss = 3.221, loss_main = 3.218, loss_regu = 0.003
2022-09-23 18:36:30.438857 Step 36/54: loss = 3.233, loss_main = 3.230, loss_regu = 0.003
2022-09-23 18:36:30.557470 Step 37/54: loss = 3.210, loss_main = 3.207, loss_regu = 0.003
2022-09-23 18:36:30.674057 Step 38/54: loss = 3.300, loss_main = 3.297, loss_regu = 0.003
2022-09-23 18:36:30.791256 Step 39/54: loss = 3.220, loss_main = 3.217, loss_regu = 0.003
2022-09-23 18:36:30.909612 Step 40/54: loss = 3.260, loss_main = 3.257, loss_regu = 0.003
2022-09-23 18:36:31.027157 Step 41/54: loss = 3.236, loss_main = 3.233, loss_regu = 0.003
2022-09-23 18:36:31.146166 Step 42/54: loss = 3.236, loss_main = 3.233, loss_regu = 0.003
2022-09-23 18:36:31.264420 Step 43/54: loss = 3.246, loss_main = 3.243, loss_regu = 0.003
2022-09-23 18:36:31.386784 Step 44/54: loss = 3.236, loss_main = 3.233, loss_regu = 0.003
2022-09-23 18:36:31.503088 Step 45/54: loss = 3.225, loss_main = 3.222, loss_regu = 0.003
2022-09-23 18:36:31.620494 Step 46/54: loss = 3.269, loss_main = 3.266, loss_regu = 0.003
2022-09-23 18:36:31.737381 Step 47/54: loss = 3.212, loss_main = 3.209, loss_regu = 0.003
2022-09-23 18:36:31.855446 Step 48/54: loss = 3.221, loss_main = 3.218, loss_regu = 0.003
2022-09-23 18:36:31.972423 Step 49/54: loss = 3.246, loss_main = 3.243, loss_regu = 0.003
2022-09-23 18:36:32.099996 Step 50/54: loss = 3.279, loss_main = 3.276, loss_regu = 0.003
2022-09-23 18:36:32.216906 Step 51/54: loss = 3.229, loss_main = 3.226, loss_regu = 0.003
2022-09-23 18:36:32.333711 Step 52/54: loss = 3.229, loss_main = 3.226, loss_regu = 0.003
2022-09-23 18:36:32.450982 Step 53/54: loss = 3.217, loss_main = 3.214, loss_regu = 0.003
2022-09-23 18:36:32.556863 Step 54/54: loss = 3.243, loss_main = 3.241, loss_regu = 0.003
2022-09-23 18:36:32.587048 Train 1/100 {'loss': 3.2928237694281117, 'loss_main': 3.2897301382488675, 'precision': 0.06367521367521367}
2022-09-23 18:36:32.674188 Step 0/54: loss = 3.199, loss_main = 3.196, loss_regu = 0.003
2022-09-23 18:36:32.800566 Step 1/54: loss = 3.176, loss_main = 3.173, loss_regu = 0.003
2022-09-23 18:36:32.919143 Step 2/54: loss = 3.150, loss_main = 3.147, loss_regu = 0.003
2022-09-23 18:36:33.037286 Step 3/54: loss = 3.182, loss_main = 3.180, loss_regu = 0.003
2022-09-23 18:36:33.154077 Step 4/54: loss = 3.133, loss_main = 3.130, loss_regu = 0.003
2022-09-23 18:36:33.271527 Step 5/54: loss = 3.194, loss_main = 3.191, loss_regu = 0.003
