2022-09-23 18:36:18.418737 Start \(≧▽≦)/
2022-09-23 18:36:19.469731 Loading data from pkl...
2022-09-23 18:36:19.470094 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-23 18:36:22.424597 Step 0/109: loss = 3.255, loss_main = 3.249, loss_regu = 0.006
2022-09-23 18:36:22.510671 Step 1/109: loss = 3.310, loss_main = 3.304, loss_regu = 0.005
2022-09-23 18:36:22.588451 Step 2/109: loss = 3.300, loss_main = 3.295, loss_regu = 0.005
2022-09-23 18:36:22.663363 Step 3/109: loss = 3.309, loss_main = 3.304, loss_regu = 0.005
2022-09-23 18:36:22.739018 Step 4/109: loss = 3.271, loss_main = 3.266, loss_regu = 0.005
2022-09-23 18:36:22.816037 Step 5/109: loss = 3.295, loss_main = 3.290, loss_regu = 0.005
2022-09-23 18:36:22.892798 Step 6/109: loss = 3.354, loss_main = 3.349, loss_regu = 0.005
2022-09-23 18:36:22.975128 Step 7/109: loss = 3.328, loss_main = 3.323, loss_regu = 0.005
2022-09-23 18:36:23.056884 Step 8/109: loss = 3.324, loss_main = 3.320, loss_regu = 0.005
2022-09-23 18:36:23.131993 Step 9/109: loss = 3.306, loss_main = 3.301, loss_regu = 0.005
2022-09-23 18:36:23.209848 Step 10/109: loss = 3.294, loss_main = 3.290, loss_regu = 0.004
2022-09-23 18:36:23.286692 Step 11/109: loss = 3.301, loss_main = 3.297, loss_regu = 0.004
2022-09-23 18:36:23.372203 Step 12/109: loss = 3.309, loss_main = 3.305, loss_regu = 0.004
2022-09-23 18:36:23.447939 Step 13/109: loss = 3.314, loss_main = 3.310, loss_regu = 0.004
2022-09-23 18:36:23.523389 Step 14/109: loss = 3.302, loss_main = 3.298, loss_regu = 0.004
2022-09-23 18:36:23.599571 Step 15/109: loss = 3.299, loss_main = 3.295, loss_regu = 0.004
2022-09-23 18:36:23.675951 Step 16/109: loss = 3.234, loss_main = 3.230, loss_regu = 0.004
2022-09-23 18:36:23.756732 Step 17/109: loss = 3.301, loss_main = 3.297, loss_regu = 0.004
2022-09-23 18:36:23.836147 Step 18/109: loss = 3.326, loss_main = 3.322, loss_regu = 0.004
2022-09-23 18:36:23.911481 Step 19/109: loss = 3.328, loss_main = 3.324, loss_regu = 0.004
2022-09-23 18:36:23.987655 Step 20/109: loss = 3.306, loss_main = 3.302, loss_regu = 0.004
2022-09-23 18:36:24.066029 Step 21/109: loss = 3.345, loss_main = 3.342, loss_regu = 0.004
2022-09-23 18:36:24.142821 Step 22/109: loss = 3.296, loss_main = 3.293, loss_regu = 0.004
2022-09-23 18:36:24.219911 Step 23/109: loss = 3.258, loss_main = 3.254, loss_regu = 0.004
2022-09-23 18:36:24.299948 Step 24/109: loss = 3.306, loss_main = 3.302, loss_regu = 0.004
2022-09-23 18:36:24.375103 Step 25/109: loss = 3.265, loss_main = 3.261, loss_regu = 0.004
2022-09-23 18:36:24.456520 Step 26/109: loss = 3.232, loss_main = 3.228, loss_regu = 0.004
2022-09-23 18:36:24.531025 Step 27/109: loss = 3.357, loss_main = 3.354, loss_regu = 0.004
2022-09-23 18:36:24.606929 Step 28/109: loss = 3.310, loss_main = 3.307, loss_regu = 0.004
2022-09-23 18:36:24.682388 Step 29/109: loss = 3.296, loss_main = 3.293, loss_regu = 0.003
2022-09-23 18:36:24.762213 Step 30/109: loss = 3.308, loss_main = 3.304, loss_regu = 0.003
2022-09-23 18:36:24.838320 Step 31/109: loss = 3.292, loss_main = 3.289, loss_regu = 0.003
2022-09-23 18:36:24.912617 Step 32/109: loss = 3.273, loss_main = 3.270, loss_regu = 0.003
2022-09-23 18:36:24.992949 Step 33/109: loss = 3.240, loss_main = 3.237, loss_regu = 0.003
2022-09-23 18:36:25.068636 Step 34/109: loss = 3.276, loss_main = 3.272, loss_regu = 0.003
2022-09-23 18:36:25.146002 Step 35/109: loss = 3.290, loss_main = 3.287, loss_regu = 0.003
2022-09-23 18:36:25.222427 Step 36/109: loss = 3.357, loss_main = 3.354, loss_regu = 0.003
2022-09-23 18:36:25.297609 Step 37/109: loss = 3.324, loss_main = 3.320, loss_regu = 0.003
2022-09-23 18:36:25.373113 Step 38/109: loss = 3.291, loss_main = 3.287, loss_regu = 0.003
2022-09-23 18:36:25.454741 Step 39/109: loss = 3.260, loss_main = 3.257, loss_regu = 0.003
2022-09-23 18:36:25.529021 Step 40/109: loss = 3.225, loss_main = 3.222, loss_regu = 0.003
2022-09-23 18:36:25.610670 Step 41/109: loss = 3.302, loss_main = 3.299, loss_regu = 0.003
2022-09-23 18:36:25.685817 Step 42/109: loss = 3.257, loss_main = 3.253, loss_regu = 0.003
2022-09-23 18:36:25.767889 Step 43/109: loss = 3.280, loss_main = 3.277, loss_regu = 0.003
2022-09-23 18:36:25.844972 Step 44/109: loss = 3.235, loss_main = 3.232, loss_regu = 0.003
2022-09-23 18:36:25.920667 Step 45/109: loss = 3.304, loss_main = 3.301, loss_regu = 0.003
2022-09-23 18:36:25.998372 Step 46/109: loss = 3.359, loss_main = 3.356, loss_regu = 0.003
2022-09-23 18:36:26.075646 Step 47/109: loss = 3.253, loss_main = 3.250, loss_regu = 0.003
2022-09-23 18:36:26.159856 Step 48/109: loss = 3.340, loss_main = 3.337, loss_regu = 0.003
2022-09-23 18:36:26.235660 Step 49/109: loss = 3.321, loss_main = 3.317, loss_regu = 0.003
2022-09-23 18:36:26.311874 Step 50/109: loss = 3.279, loss_main = 3.276, loss_regu = 0.003
2022-09-23 18:36:26.388266 Step 51/109: loss = 3.239, loss_main = 3.236, loss_regu = 0.003
2022-09-23 18:36:26.463305 Step 52/109: loss = 3.241, loss_main = 3.238, loss_regu = 0.003
2022-09-23 18:36:26.540289 Step 53/109: loss = 3.330, loss_main = 3.327, loss_regu = 0.003
2022-09-23 18:36:26.616003 Step 54/109: loss = 3.244, loss_main = 3.240, loss_regu = 0.003
2022-09-23 18:36:26.693211 Step 55/109: loss = 3.246, loss_main = 3.243, loss_regu = 0.003
2022-09-23 18:36:26.768911 Step 56/109: loss = 3.281, loss_main = 3.278, loss_regu = 0.003
2022-09-23 18:36:26.844120 Step 57/109: loss = 3.286, loss_main = 3.283, loss_regu = 0.003
2022-09-23 18:36:26.920187 Step 58/109: loss = 3.314, loss_main = 3.311, loss_regu = 0.003
