2022-09-23 21:04:10.693082 Start \(≧▽≦)/
2022-09-23 21:04:11.735558 Loading data from pkl...
2022-09-23 21:04:11.735922 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-23 21:04:14.624977 Step 0/27: loss = 3.299, loss_main = 3.296, loss_regu = 0.003
2022-09-23 21:04:14.807352 Step 1/27: loss = 3.258, loss_main = 3.255, loss_regu = 0.003
2022-09-23 21:04:14.976434 Step 2/27: loss = 3.254, loss_main = 3.251, loss_regu = 0.003
2022-09-23 21:04:15.135081 Step 3/27: loss = 3.281, loss_main = 3.278, loss_regu = 0.003
2022-09-23 21:04:15.298051 Step 4/27: loss = 3.290, loss_main = 3.287, loss_regu = 0.003
2022-09-23 21:04:15.456030 Step 5/27: loss = 3.305, loss_main = 3.302, loss_regu = 0.003
2022-09-23 21:04:15.614294 Step 6/27: loss = 3.293, loss_main = 3.290, loss_regu = 0.003
2022-09-23 21:04:15.778770 Step 7/27: loss = 3.265, loss_main = 3.262, loss_regu = 0.003
2022-09-23 21:04:15.934831 Step 8/27: loss = 3.283, loss_main = 3.281, loss_regu = 0.003
2022-09-23 21:04:16.098136 Step 9/27: loss = 3.270, loss_main = 3.268, loss_regu = 0.003
2022-09-23 21:04:16.256263 Step 10/27: loss = 3.267, loss_main = 3.264, loss_regu = 0.002
2022-09-23 21:04:16.419375 Step 11/27: loss = 3.276, loss_main = 3.274, loss_regu = 0.002
2022-09-23 21:04:16.575746 Step 12/27: loss = 3.256, loss_main = 3.253, loss_regu = 0.002
2022-09-23 21:04:16.738391 Step 13/27: loss = 3.277, loss_main = 3.275, loss_regu = 0.002
2022-09-23 21:04:16.902275 Step 14/27: loss = 3.267, loss_main = 3.264, loss_regu = 0.002
2022-09-23 21:04:17.065539 Step 15/27: loss = 3.283, loss_main = 3.280, loss_regu = 0.002
2022-09-23 21:04:17.220497 Step 16/27: loss = 3.258, loss_main = 3.256, loss_regu = 0.002
2022-09-23 21:04:17.383202 Step 17/27: loss = 3.263, loss_main = 3.261, loss_regu = 0.002
2022-09-23 21:04:17.548677 Step 18/27: loss = 3.268, loss_main = 3.266, loss_regu = 0.002
2022-09-23 21:04:17.706790 Step 19/27: loss = 3.276, loss_main = 3.274, loss_regu = 0.002
2022-09-23 21:04:17.870847 Step 20/27: loss = 3.261, loss_main = 3.259, loss_regu = 0.002
2022-09-23 21:04:18.033530 Step 21/27: loss = 3.261, loss_main = 3.259, loss_regu = 0.002
2022-09-23 21:04:18.188304 Step 22/27: loss = 3.259, loss_main = 3.257, loss_regu = 0.002
2022-09-23 21:04:18.350018 Step 23/27: loss = 3.262, loss_main = 3.260, loss_regu = 0.002
2022-09-23 21:04:18.506707 Step 24/27: loss = 3.281, loss_main = 3.279, loss_regu = 0.002
2022-09-23 21:04:18.677088 Step 25/27: loss = 3.244, loss_main = 3.242, loss_regu = 0.002
2022-09-23 21:04:18.846503 Step 26/27: loss = 3.264, loss_main = 3.262, loss_regu = 0.002
2022-09-23 21:04:18.934119 Step 27/27: loss = 3.265, loss_main = 3.263, loss_regu = 0.002
2022-09-23 21:04:18.954374 Train 0/100 {'loss': 3.3921648308082863, 'loss_main': 3.3896779042703136, 'precision': 0.0405982905982906}
2022-09-23 21:04:19.101118 Step 0/3: precision = 13.000
2022-09-23 21:04:19.249968 Step 1/3: precision = 14.000
2022-09-23 21:04:19.399524 Step 2/3: precision = 11.000
2022-09-23 21:04:19.412661 Step 3/3: precision = 0.000
2022-09-23 21:04:19.412863 Test 0/100 {'precision': 0.04871794871794872}
[1m2022-09-23 21:04:19.412883 Best Result: precision = 0.0487[0m
2022-09-23 21:04:19.557911 Step 0/27: loss = 3.265, loss_main = 3.263, loss_regu = 0.002
2022-09-23 21:04:19.730406 Step 1/27: loss = 3.228, loss_main = 3.226, loss_regu = 0.002
2022-09-23 21:04:19.896264 Step 2/27: loss = 3.234, loss_main = 3.232, loss_regu = 0.002
2022-09-23 21:04:20.056377 Step 3/27: loss = 3.247, loss_main = 3.245, loss_regu = 0.002
2022-09-23 21:04:20.227462 Step 4/27: loss = 3.252, loss_main = 3.250, loss_regu = 0.002
2022-09-23 21:04:20.387470 Step 5/27: loss = 3.235, loss_main = 3.234, loss_regu = 0.002
2022-09-23 21:04:20.559499 Step 6/27: loss = 3.245, loss_main = 3.244, loss_regu = 0.002
2022-09-23 21:04:20.727926 Step 7/27: loss = 3.224, loss_main = 3.222, loss_regu = 0.002
2022-09-23 21:04:20.895502 Step 8/27: loss = 3.238, loss_main = 3.236, loss_regu = 0.002
2022-09-23 21:04:21.060277 Step 9/27: loss = 3.237, loss_main = 3.236, loss_regu = 0.002
2022-09-23 21:04:21.220071 Step 10/27: loss = 3.237, loss_main = 3.236, loss_regu = 0.002
2022-09-23 21:04:21.391483 Step 11/27: loss = 3.215, loss_main = 3.213, loss_regu = 0.002
2022-09-23 21:04:21.556508 Step 12/27: loss = 3.233, loss_main = 3.231, loss_regu = 0.002
2022-09-23 21:04:21.723830 Step 13/27: loss = 3.229, loss_main = 3.228, loss_regu = 0.002
2022-09-23 21:04:21.898196 Step 14/27: loss = 3.237, loss_main = 3.235, loss_regu = 0.002
2022-09-23 21:04:22.071830 Step 15/27: loss = 3.237, loss_main = 3.235, loss_regu = 0.002
2022-09-23 21:04:22.233644 Step 16/27: loss = 3.237, loss_main = 3.235, loss_regu = 0.002
2022-09-23 21:04:22.398399 Step 17/27: loss = 3.236, loss_main = 3.234, loss_regu = 0.002
2022-09-23 21:04:22.570186 Step 18/27: loss = 3.242, loss_main = 3.240, loss_regu = 0.002
2022-09-23 21:04:22.730918 Step 19/27: loss = 3.235, loss_main = 3.234, loss_regu = 0.002
2022-09-23 21:04:22.903754 Step 20/27: loss = 3.233, loss_main = 3.232, loss_regu = 0.002
2022-09-23 21:04:23.077767 Step 21/27: loss = 3.230, loss_main = 3.228, loss_regu = 0.002
2022-09-23 21:04:23.240236 Step 22/27: loss = 3.216, loss_main = 3.214, loss_regu = 0.002
2022-09-23 21:04:23.415624 Step 23/27: loss = 3.242, loss_main = 3.241, loss_regu = 0.002
2022-09-23 21:04:23.590548 Step 24/27: loss = 3.209, loss_main = 3.208, loss_regu = 0.002
2022-09-23 21:04:23.755475 Step 25/27: loss = 3.232, loss_main = 3.230, loss_regu = 0.002
2022-09-23 21:04:23.929887 Step 26/27: loss = 3.224, loss_main = 3.222, loss_regu = 0.002
2022-09-23 21:04:24.013540 Step 27/27: loss = 3.213, loss_main = 3.211, loss_regu = 0.002
2022-09-23 21:04:24.040238 Train 1/100 {'loss': 3.353405510937726, 'loss_main': 3.351614757820412, 'precision': 0.06267806267806268}
2022-09-23 21:04:24.184382 Step 0/27: loss = 3.231, loss_main = 3.229, loss_regu = 0.002
2022-09-23 21:04:24.349534 Step 1/27: loss = 3.229, loss_main = 3.228, loss_regu = 0.002
2022-09-23 21:04:24.520399 Step 2/27: loss = 3.212, loss_main = 3.210, loss_regu = 0.002
2022-09-23 21:04:24.679795 Step 3/27: loss = 3.205, loss_main = 3.204, loss_regu = 0.002
2022-09-23 21:04:24.855423 Step 4/27: loss = 3.201, loss_main = 3.199, loss_regu = 0.002
2022-09-23 21:04:25.020585 Step 5/27: loss = 3.199, loss_main = 3.197, loss_regu = 0.002
2022-09-23 21:04:25.188224 Step 6/27: loss = 3.189, loss_main = 3.187, loss_regu = 0.002
2022-09-23 21:04:25.353728 Step 7/27: loss = 3.220, loss_main = 3.218, loss_regu = 0.002
2022-09-23 21:04:25.523778 Step 8/27: loss = 3.200, loss_main = 3.199, loss_regu = 0.002
2022-09-23 21:04:25.682733 Step 9/27: loss = 3.211, loss_main = 3.209, loss_regu = 0.002
2022-09-23 21:04:25.847017 Step 10/27: loss = 3.194, loss_main = 3.193, loss_regu = 0.002
2022-09-23 21:04:26.017938 Step 11/27: loss = 3.216, loss_main = 3.215, loss_regu = 0.002
2022-09-23 21:04:26.182884 Step 12/27: loss = 3.190, loss_main = 3.188, loss_regu = 0.002
2022-09-23 21:04:26.353625 Step 13/27: loss = 3.204, loss_main = 3.203, loss_regu = 0.002
2022-09-23 21:04:26.518471 Step 14/27: loss = 3.227, loss_main = 3.225, loss_regu = 0.002
2022-09-23 21:04:26.686349 Step 15/27: loss = 3.203, loss_main = 3.201, loss_regu = 0.002
2022-09-23 21:04:26.844842 Step 16/27: loss = 3.213, loss_main = 3.211, loss_regu = 0.002
2022-09-23 21:04:27.010369 Step 17/27: loss = 3.199, loss_main = 3.197, loss_regu = 0.002
2022-09-23 21:04:27.184288 Step 18/27: loss = 3.172, loss_main = 3.171, loss_regu = 0.002
2022-09-23 21:04:27.350991 Step 19/27: loss = 3.207, loss_main = 3.206, loss_regu = 0.002
2022-09-23 21:04:27.521974 Step 20/27: loss = 3.219, loss_main = 3.218, loss_regu = 0.002
2022-09-23 21:04:27.699729 Step 21/27: loss = 3.187, loss_main = 3.186, loss_regu = 0.002
2022-09-23 21:04:27.874283 Step 22/27: loss = 3.192, loss_main = 3.190, loss_regu = 0.002
2022-09-23 21:04:28.043600 Step 23/27: loss = 3.193, loss_main = 3.191, loss_regu = 0.002
2022-09-23 21:04:28.212316 Step 24/27: loss = 3.235, loss_main = 3.233, loss_regu = 0.002
2022-09-23 21:04:28.387900 Step 25/27: loss = 3.178, loss_main = 3.176, loss_regu = 0.002
2022-09-23 21:04:28.551328 Step 26/27: loss = 3.212, loss_main = 3.210, loss_regu = 0.002
2022-09-23 21:04:28.638937 Step 27/27: loss = 3.172, loss_main = 3.171, loss_regu = 0.002
2022-09-23 21:04:28.660792 Train 2/100 {'loss': 3.322562482621935, 'loss_main': 3.3209032394267894, 'precision': 0.08176638176638176}
2022-09-23 21:04:28.793935 Step 0/3: precision = 11.000
2022-09-23 21:04:28.931073 Step 1/3: precision = 9.000
2022-09-23 21:04:29.068140 Step 2/3: precision = 15.000
2022-09-23 21:04:29.079125 Step 3/3: precision = 0.000
2022-09-23 21:04:29.079302 Test 2/100 {'precision': 0.04487179487179487}
2022-09-23 21:04:29.220380 Step 0/27: loss = 3.167, loss_main = 3.165, loss_regu = 0.002
2022-09-23 21:04:29.413805 Step 1/27: loss = 3.182, loss_main = 3.181, loss_regu = 0.002
2022-09-23 21:04:29.578365 Step 2/27: loss = 3.120, loss_main = 3.119, loss_regu = 0.002
2022-09-23 21:04:29.748711 Step 3/27: loss = 3.152, loss_main = 3.151, loss_regu = 0.002
2022-09-23 21:04:29.921115 Step 4/27: loss = 3.160, loss_main = 3.159, loss_regu = 0.002
2022-09-23 21:04:30.084917 Step 5/27: loss = 3.180, loss_main = 3.179, loss_regu = 0.002
2022-09-23 21:04:30.250055 Step 6/27: loss = 3.185, loss_main = 3.183, loss_regu = 0.002
2022-09-23 21:04:30.414735 Step 7/27: loss = 3.165, loss_main = 3.164, loss_regu = 0.002
2022-09-23 21:04:30.585035 Step 8/27: loss = 3.155, loss_main = 3.153, loss_regu = 0.002
2022-09-23 21:04:30.746272 Step 9/27: loss = 3.161, loss_main = 3.159, loss_regu = 0.002
2022-09-23 21:04:30.918120 Step 10/27: loss = 3.160, loss_main = 3.159, loss_regu = 0.002
2022-09-23 21:04:31.084473 Step 11/27: loss = 3.174, loss_main = 3.173, loss_regu = 0.002
2022-09-23 21:04:31.244815 Step 12/27: loss = 3.179, loss_main = 3.177, loss_regu = 0.002
2022-09-23 21:04:31.416065 Step 13/27: loss = 3.154, loss_main = 3.153, loss_regu = 0.002
2022-09-23 21:04:31.587047 Step 14/27: loss = 3.180, loss_main = 3.179, loss_regu = 0.002
2022-09-23 21:04:31.753826 Step 15/27: loss = 3.170, loss_main = 3.168, loss_regu = 0.002
2022-09-23 21:04:31.927815 Step 16/27: loss = 3.182, loss_main = 3.180, loss_regu = 0.002
2022-09-23 21:04:32.094928 Step 17/27: loss = 3.166, loss_main = 3.165, loss_regu = 0.002
2022-09-23 21:04:32.264048 Step 18/27: loss = 3.161, loss_main = 3.160, loss_regu = 0.002
2022-09-23 21:04:32.436796 Step 19/27: loss = 3.161, loss_main = 3.160, loss_regu = 0.002
2022-09-23 21:04:32.604289 Step 20/27: loss = 3.173, loss_main = 3.171, loss_regu = 0.002
2022-09-23 21:04:32.774373 Step 21/27: loss = 3.183, loss_main = 3.182, loss_regu = 0.002
2022-09-23 21:04:32.941058 Step 22/27: loss = 3.159, loss_main = 3.158, loss_regu = 0.002
2022-09-23 21:04:33.114172 Step 23/27: loss = 3.167, loss_main = 3.165, loss_regu = 0.002
2022-09-23 21:04:33.275537 Step 24/27: loss = 3.164, loss_main = 3.163, loss_regu = 0.002
2022-09-23 21:04:33.442525 Step 25/27: loss = 3.171, loss_main = 3.169, loss_regu = 0.002
2022-09-23 21:04:33.602555 Step 26/27: loss = 3.127, loss_main = 3.126, loss_regu = 0.002
2022-09-23 21:04:33.694598 Step 27/27: loss = 3.172, loss_main = 3.170, loss_regu = 0.002
